GeneID,Experiment,Expression_Change
Zm00001d020909,Salicylic acid,Decreases under treatment
Zm00001d020951,Salicylic acid,Increases under treatment
Zm00001d020976,Salicylic acid,Increases under treatment
Zm00001d020984,Salicylic acid,Increases under treatment
Zm00001d021087,Salicylic acid,Increases under treatment
Zm00001d021164,Salicylic acid,Increases under treatment
Zm00001d021167,Salicylic acid,Increases under treatment
Zm00001d021168,Salicylic acid,Decreases under treatment
Zm00001d021197,Salicylic acid,Increases under treatment
Zm00001d021221,Salicylic acid,Increases under treatment
Zm00001d021296,Salicylic acid,Increases under treatment
Zm00001d021303,Salicylic acid,Increases under treatment
Zm00001d021457,Salicylic acid,Increases under treatment
Zm00001d021461,Salicylic acid,Increases under treatment
Zm00001d021535,Salicylic acid,Increases under treatment
Zm00001d021569,Salicylic acid,Increases under treatment
Zm00001d021627,Salicylic acid,Decreases under treatment
Zm00001d021653,Salicylic acid,Decreases under treatment
Zm00001d021677,Salicylic acid,Increases under treatment
Zm00001d021683,Salicylic acid,Increases under treatment
Zm00001d021684,Salicylic acid,Increases under treatment
Zm00001d021726,Salicylic acid,Increases under treatment
Zm00001d021727,Salicylic acid,Increases under treatment
Zm00001d021761,Salicylic acid,Increases under treatment
Zm00001d021774,Salicylic acid,Increases under treatment
Zm00001d021804,Salicylic acid,Increases under treatment
Zm00001d021850,Salicylic acid,Decreases under treatment
Zm00001d021882,Salicylic acid,Increases under treatment
Zm00001d021897,Salicylic acid,Increases under treatment
Zm00001d021898,Salicylic acid,Increases under treatment
Zm00001d021900,Salicylic acid,Increases under treatment
Zm00001d021901,Salicylic acid,Increases under treatment
Zm00001d021935,Salicylic acid,Increases under treatment
Zm00001d021936,Salicylic acid,Increases under treatment
Zm00001d021948,Salicylic acid,Increases under treatment
Zm00001d021949,Salicylic acid,Increases under treatment
Zm00001d022003,Salicylic acid,Decreases under treatment
Zm00001d022005,Salicylic acid,Increases under treatment
Zm00001d022053,Salicylic acid,Increases under treatment
Zm00001d022166,Salicylic acid,Decreases under treatment
Zm00001d022167,Salicylic acid,Decreases under treatment
Zm00001d022234,Salicylic acid,Increases under treatment
Zm00001d022237,Salicylic acid,Decreases under treatment
Zm00001d022259,Salicylic acid,Increases under treatment
Zm00001d022277,Salicylic acid,Increases under treatment
Zm00001d022327,Salicylic acid,Increases under treatment
Zm00001d022334,Salicylic acid,Increases under treatment
Zm00001d022351,Salicylic acid,Increases under treatment
Zm00001d022395,Salicylic acid,Increases under treatment
Zm00001d022416,Salicylic acid,Increases under treatment
Zm00001d022453,Salicylic acid,Decreases under treatment
Zm00001d022457,Salicylic acid,Increases under treatment
Zm00001d022458,Salicylic acid,Increases under treatment
Zm00001d022467,Salicylic acid,Increases under treatment
Zm00001d022506,Salicylic acid,Increases under treatment
Zm00001d022514,Salicylic acid,Decreases under treatment
Zm00001d022598,Salicylic acid,Decreases under treatment
Zm00001d022630,Salicylic acid,Increases under treatment
Zm00001d023208,Salicylic acid,Decreases under treatment
Zm00001d023228,Salicylic acid,Increases under treatment
Zm00001d023294,Salicylic acid,Increases under treatment
Zm00001d023335,Salicylic acid,Increases under treatment
Zm00001d023336,Salicylic acid,Increases under treatment
Zm00001d023343,Salicylic acid,Increases under treatment
Zm00001d023384,Salicylic acid,Increases under treatment
Zm00001d023385,Salicylic acid,Increases under treatment
Zm00001d023419,Salicylic acid,Increases under treatment
Zm00001d023470,Salicylic acid,Decreases under treatment
Zm00001d023479,Salicylic acid,Increases under treatment
Zm00001d023522,Salicylic acid,Decreases under treatment
Zm00001d023615,Salicylic acid,Decreases under treatment
Zm00001d023617,Salicylic acid,Increases under treatment
Zm00001d023625,Salicylic acid,Increases under treatment
Zm00001d023664,Salicylic acid,Increases under treatment
Zm00001d023720,Salicylic acid,Increases under treatment
Zm00001d023800,Salicylic acid,Increases under treatment
Zm00001d023811,Salicylic acid,Increases under treatment
Zm00001d023856,Salicylic acid,Increases under treatment
Zm00001d024047,Salicylic acid,Decreases under treatment
Zm00001d024250,Salicylic acid,Decreases under treatment
Zm00001d024281,Salicylic acid,Increases under treatment
Zm00001d024386,Salicylic acid,Increases under treatment
Zm00001d024423,Salicylic acid,Decreases under treatment
Zm00001d024665,Salicylic acid,Increases under treatment
Zm00001d024763,Salicylic acid,Increases under treatment
Zm00001d024778,Salicylic acid,Increases under treatment
Zm00001d024839,Salicylic acid,Increases under treatment
Zm00001d024853,Salicylic acid,Increases under treatment
Zm00001d024885,Salicylic acid,Increases under treatment
Zm00001d024886,Salicylic acid,Increases under treatment
Zm00001d024903,Salicylic acid,Increases under treatment
Zm00001d024939,Salicylic acid,Increases under treatment
Zm00001d024960,Salicylic acid,Increases under treatment
Zm00001d024996,Salicylic acid,Increases under treatment
Zm00001d025012,Salicylic acid,Increases under treatment
Zm00001d025055,Salicylic acid,Increases under treatment
Zm00001d025057,Salicylic acid,Increases under treatment
Zm00001d025200,Salicylic acid,Increases under treatment
Zm00001d025228,Salicylic acid,Decreases under treatment
Zm00001d025241,Salicylic acid,Decreases under treatment
Zm00001d025278,Salicylic acid,Increases under treatment
Zm00001d025281,Salicylic acid,Increases under treatment
Zm00001d025333,Salicylic acid,Increases under treatment
Zm00001d025347,Salicylic acid,Decreases under treatment
Zm00001d025360,Salicylic acid,Increases under treatment
Zm00001d025379,Salicylic acid,Increases under treatment
Zm00001d025437,Salicylic acid,Increases under treatment
Zm00001d025564,Salicylic acid,Increases under treatment
Zm00001d025614,Salicylic acid,Increases under treatment
Zm00001d025735,Salicylic acid,Increases under treatment
Zm00001d025753,Salicylic acid,Increases under treatment
Zm00001d025847,Salicylic acid,Increases under treatment
Zm00001d025889,Salicylic acid,Decreases under treatment
Zm00001d025920,Salicylic acid,Increases under treatment
Zm00001d025924,Salicylic acid,Decreases under treatment
Zm00001d026042,Salicylic acid,Increases under treatment
Zm00001d026055,Salicylic acid,Decreases under treatment
Zm00001d026083,Salicylic acid,Increases under treatment
Zm00001d026199,Salicylic acid,Decreases under treatment
Zm00001d026203,Salicylic acid,Increases under treatment
Zm00001d026204,Salicylic acid,Increases under treatment
Zm00001d026287,Salicylic acid,Increases under treatment
Zm00001d026289,Salicylic acid,Increases under treatment
Zm00001d026426,Salicylic acid,Increases under treatment
Zm00001d026577,Salicylic acid,Increases under treatment
Zm00001d026586,Salicylic acid,Decreases under treatment
Zm00001d026632,Salicylic acid,Increases under treatment
Zm00001d026648,Salicylic acid,Increases under treatment
Zm00001d026664,Salicylic acid,Increases under treatment
Zm00001d026670,Salicylic acid,Increases under treatment
Zm00001d026712,Salicylic acid,Increases under treatment
Zm00001d027335,Salicylic acid,Increases under treatment
Zm00001d027344,Salicylic acid,Increases under treatment
Zm00001d027355,Salicylic acid,Increases under treatment
Zm00001d027367,Salicylic acid,Decreases under treatment
Zm00001d027375,Salicylic acid,Increases under treatment
Zm00001d027387,Salicylic acid,Increases under treatment
Zm00001d027471,Salicylic acid,Increases under treatment
Zm00001d027500,Salicylic acid,Increases under treatment
Zm00001d027524,Salicylic acid,Increases under treatment
Zm00001d027533,Salicylic acid,Increases under treatment
Zm00001d027552,Salicylic acid,Increases under treatment
Zm00001d027581,Salicylic acid,Decreases under treatment
Zm00001d027613,Salicylic acid,Decreases under treatment
